SKU,Description
540954BK,"OVERDRIVE DRUM KIT, 4PC, INCLUDES COVER, 13 BOLT DESIGN WITH MOUNT  4/9, TOYOTA 540"
540954C,"OVERDRIVE COVER, 12 BOLT W/MOUNT BOSSES  4/9, TOYOTA 540"
54109,"ST 4L3OE STEEL,OVERRUN"
54200G,PUMP 4L30E WITH 4 VALVES 2000-UP
54313,"BAND, TH180, 4L30E LOW (REAR). (OEM# 5463805, 8958960)"
545,"ALLISON,CORE,W/T.Q CONVERTER"
545 W/O,"ALLISON,CORE,W/O T.Q CONVERTER"
54646,LATHE CUT
54701,PAPER GASKET
54702,"WASHER, DRUM TH-180 (METAL)"
54800,"FILTER, GM TH180/C (3L30) (OEM# 747451, 5258130, 9921689, 1424456, 96040620)"
54800B,"FILTER 4L30E 91-ON BMW Z3, 318I, 325I, 328I, 525I, 528I (BLACK PLASTIC, LARGE HOLE TO THE V/B)"
54952,"PISTON, GM 4L40E, 5L40E, FORWARD. 99-UP OEM# 63023901"
54954,"PISTON, GM 4L40E, 5L40E, OVERDRIVE. 99-UP OEM# 96025338"
54955,"PISTON, GM 4L40E, 5L40E, 5L50E INTERMEDIATE. 99-UP OEM# 96020682"
54956,"PISTON, GM 4L40E, 5L40E, LOW/REVERSE. 99-01 OEM# 96020153 // 02-UP OEM# 96022480"
54957,"PISTON, GM 5L40E, 2ND COAST. 99 OEM 96020194 // 99-01 OEM# 96022481 02-UP OEM# 96024086"
54958,"PISTON, GM 5L40E, 2ND CLUTCH. 99-01 OEM# 96020191 02-UP OEM# 96025338"
54960,"PISTON, GM 5L40E, SECOND BRAKE. CADILLAC 03-ON"
54991E,"NEUTRAL SAFETY SWITCH 4L30E  98-02 (8 PRONG) (8"" HARNESS)"
5507,FORD EXPLORER POWER STEERING 96-UP
55710,"*** USE 54800J *** FILTER 4L40E, 5L40E, 5L50E SHALLOW PAN 99-UP"
55752,OIL PUMP A404
5578,"R&P SEAL KIT, FORD EXPLORER (06-08)"
56200G,OIL PUMP 4R44E/5R55E
56284C,DRUM OVERDRIVE FORD 4R44E
56300F,Pum Gasket
56300G,DRUM HIGH REV 4R44E
56400E,DRUM FWD 4R44E FORD
56423C,KICK DRUM FORD 5R55E
56520,"BAND, A4LD/E, 5R55E: REVERSE. 85-ON. (IND: 56520) (OEM# F3ZZ-7D095-A, E3ZZ-7D095-A, 1L5Z-7D095-AA, 1L5P-7D095)"
56520D-P,"FRONT PUMP 4R55E, 4R44E, A4LD HOUSE REBUILT, HAS 8 MM BOLT HOLES, 90-94. REPLACES 4LD20C-P"
56520J,"BAND, 5R55N, 5R55W, 5R55S: LOW/REVERSE (SPLIT) (IND: 56520J) (OEM# XW4Z-7D095-AA)"
56528-NAT,"PISTON-C3, A4LD YELLOW DOT (INTERMEDIATE) 2.100 REFERENCE# 31550 (NATIONAL)"
56550A-NS,A4LD SEAL
56575B,*** USE 68710NL *** FILTER 722.9 MERCEDES 04-UP
56710E,FILTER A4LD 86-ON 4WD FORD ( ALL METAL) (OEM# E6TZ-7A098-A)
56710G,"FILTER, 5R55E, 4R55E 4X2 (OEM# F5TZ-7A098A , 95GT-7A098-AB, F5TZ-7A098-A)"
56710H,"FILTER, FORD 4R44E, 4R55E, 5R55E 4WD (W/ 1-1/2"" NECK) (OEM# F5TZ-7A098-B , 95GT-7A098-BB)"
56710K,"FILTER, 5R55W2.125"" 4X4 PICK-UP TUBE (2002-ON) (OEM# 1L2Z-7A098-AC, 1L2Z-7A098-AB, 1L2Z-7A098-AD)"
56740CP,"VALVE BODY FORD 4R44E, 4R55E, 5R55E, 6 SOLENOIDS, 95-UP,  SOLD AS IS NO WARRANTY"
56842A,5R55E EPC w/ Ind Sig.   1997 - UP
56845,"INPUT SPEED SENSOR, FORD 4R44E/5R44E/5R55E (OEM# F5TZ-7M101-A)"
56845X,INPUT CENTER /TURBINE SPEED SENSOR FORD 4R44E/ 4R55E 95-96
56900J,"VALVE BODY, KM F4A21/22"
56954L,"SOLENOID BLOCK 5R55S/W   2004-UP, REMANUFACTURED (BLUE CIRCUIT BOARD)"
56961B,"*** USE 50001BW *** SPRAG, 4R44E/55E/5R55E (0.460? WIDE LUGS) PLASTIC CAGE, BRASS WASHER. ONE SIDE 1997-UP"
57632HAK-P,"CENTER SUPPORT KIT A43DE,A46DE, 2ND HOLE FROM THE LEFT BETWEEN 1ST. 83-UP"
57632HK-P,"CENTER SUPPORT KIT TOYOTA A43DE, A44D, A46DE 2ND HOLE FROM LEFT APPLY BETWEEN 83-UP"
57704EB,"REAR COVER, U140"
57710,"FILTER U140E/F,  U240 RAV4 TOYOTA METAL PLASTIC (OEM# 35330-0W010, 35330-06010, 35330-28010)"
57710M,"FILTER, U340E, U341E TOYOTA CELLICA GT , ECHO (2000-ON) (OEM# 35330-0W020, 35330-20020, 35330-0W021)"
57711,FILTER TOYOTA U151E LEXUS RX330 2003 (OEM# 35330-08010)
57731FR,PLANET REAR 42RLE
57754A,VALVE BODY U140 1999-UP
57956HD,SINGLE PISTON FOR THE 604 & 606 TRANSAXLES (OEM 4446620)
58238,"*** USE X107425 *** MCS, AXLE JF506E (MPV & MAZDA 6 ONLY), CASE SIDE RL4F03A/V, RE4F03A/V 1990-13, RE4F03B 2000-13, AXLE (CONVERTER SIDE) RE0F21A ARROW, AXLE (CONVERTER AND DIFFERENTIAL) JF009E (RE0F08A) 2002-12, AXLE (CASE SIDE) JF016E (RE0F10A, RE0F10D) 2012-14, AXLE (CASE & CONVERTER SIDE) JF414E 2012-15, JF011E, AXLE (NISSAN - DIFF. SIDE, CHRYSLER - DIFF. AND CONV. SIDES)RE0F10A (2007-11), AXLE (CASE & CONVERTER SIDE) JF015E, CVT-7, RE0F11A, F1CJB (2010-14),"
582Y,TORQUE CONVERTER CHRYSLER A413
58311,"MCS PUMP, JF402E, JF405E *** WHEN OUT USE X124401"
58575D,FILTER JF404E
59700L,BAND VOLVO AW60-40LE 92-00 INTERMEDIATE
59710D,FILTER VOLVO AW55-50SN/ AW55-5I SN 2000-UP
59780,CABLE CONVERSION KIT
59954,"SOLENOID, LOCK UP AW50-40, AW50-42"
59989,"SENSOR, AW60-40LE OUTPUT SPEED (GRAY) (OEM#26141-60G10)"
5HPDRUM,ZF5HP19/ 24 DRUM LOW REVERSE
5R5214BK,"SUNSHELL KIT,01 UP DESIGN,WITH RECTANGULAR CUT-OUTS FOR SPEED SENSOR"
5R55E,5R55E TRASNMISSION
60-40 CR,TRANSMISSION CORE
602436,MOTOR MOUNT GM OE#602436
604,SLEEVE-FORD BENDIX C/V
604-440BP,SOLENOID BLOCK A604 TESTED (REMAN)
604440BP,"SOLENOID BLOCK,GUARANTEED/TESTED"
6069,"RING KIT, C-6"
6076,"S/R KIT C6 66-UP (TEFLON, 7 PCS)"
6092,"RING KIT, C-4"
6098,RING KIT TH350 69-86 (9 PCS PTFE RINGS)
6150,RING KIT TH400 65-UP (TEFLON)
6151,"RING KIT  Ford AX4N 1994-Up (1 Metal, 10 PTFE)"
61711,"*** DO NOT REORDER, USE 92722 *** FILTER, 42RLE (2003-ON)"
61880A,PUMP T35 COMPLETE 23 SPLINE VOLVO
61880B,T35 REVERSE SERVO ASSY
61936A,"SOLENOID BLOCK 42RLE OEM  (SURPLUS, BLANK BOX)"
6197,"RING KIT  Ford AXOD 1986-Up (2 Metal, 11PTFE)"
6205,"ST AOD STEEL,REVERSE/FORWARD"
6301,"S/R KIT 45RFE,545RFE, 99-ON"
6316,CHEVY POWER STEERING PUMP
631B,FORD PLASTIC C-II RESERVOIR - BLK
63401A,CONVERTER SEAL ZF5HP19
63575,"FILTER RL4F02A, RE4F02A 4 Spd FWD"
63700,"DO NOT REORDER, USE 99700A"
63701A,"MCS, TOYOTA U440/U441 AXLE (RIGHT), A130L AXLE (GAS), A240, A245 AXLE, K410 AXLE CONVERTER SIDE (OEM# 90311-34012)"
63756C,"PUMP, NEW ZF5HP19 (VW)"
63831,"DRUM, REVERSE  NISSAN RE4R04A"
63831A,DRUM REVERSE NISSAN RE4R03A SENTRA
64-1018,VACUUM PUMP-RMFD
642370AR,FORWARD SPRAG
64251Z,"VALVE BODY, STEEM AW60-40"
642928AR,"SPRAG, LOW CLUTCH"
643,"ALLISON,CORE, W/T.Q CONVERTER"
64662P,"INNER RACE TH125/125C LOW ROLLER CLUTCH (2.806"" OD) (.706"" THICK) 80-UP"
64671C,SHAFT PUMP DRIVE TH125C 84-UP  OEM# 8652125
64955,FORWARD CLUTCH DRUM ASSY LANCER
65100,"ST TH2004R STEEL,DIRECT"
65101,"ST TH2004R STEEL,LOW/REVERSE"
65151-NS,MCS FP 4L60/E
653,ALLISON CORE W/T.Q CONVERTER
6551A,"FRONT PUMP ASSEMBLY, 17 SPLINES INPUT, CRUIS-O-MATIC, SMALL CASE SX (52-59) OEM# B1AZ-7A103A"
6551D,"FRONT PUMP ASSEMBLY, 29 SPLINES INPUT, CRUISE-O-MATIC, MEDIUM CASE MX, (55-67) OEM# C3AZ-7A103A"
65727,"SPRAG, CHRYSLER A500, OVERRUNNING, A904, A998, A999, 12 ROLLER, 88-UP (IND: 65727)"
65925S,"RING, VANE, SOLID STEEL, 200-4R, TH700R4, 4L60E"
65928-75,"SLIDE, PUMP, .7071/.7076 THICK"
66978B,REVERSE REACTION
67402,CONVERTER SEAL 09A
67426,"FILTER TOYOTA  A46DE, A43DE 83-92 (OEM# 35303-30060, 26582-57B00, OK015-21-112, MR470838)"
67730BCK1P,"RING AND PINION ASSEMBLY KIT, TOY A130 GOOD USED FITS 131 COROLLA, NO DIESEL, PARTS 736 THRU 725"
67730BFK1P,"RING AND PINION KIT, TOY A130/A140 19X67"
68002342AF,"SOLENOID BLOCK, 45RFE, 5-45RFE, OEM 99-ON (WHITE CONNECTOR + BRACKET) REPLACES 68002342AB, 68002342AD"
68025160AA,"AUXILIARY OIL COOLER, JF011E (4 HOSES) CALIBER"
68164850AA,*** USE 56028196AD *** GOVERNOR PRESSURE SENSOR A500/A518 00-ON OEM (22955A)
68187998AA,"*** USE 56041403AA *** GOVERNOR PRESSURE SENSOR A500, A518 4 PRONGS (96-99) (IND: 22955)"
68343R,BAND FRONT MERCEDES 722.1
6837203,"CONVERTER HUB, ALLISON MT-640, MT-650 1ST DESIGN, BUSHING TYPE, 8 BOLTS"
68501G,PAN GASKET 722.6 96-ON MOLDED RUBBER
68702A,"*** USE 68702A-BW *** BAND, O.E. MERCEDES 722.4 (190 & ""C"" CLASS) (2ND GEAR) B1 OE# 124-270-0062"
68712G,"FILTER MERCEDES 722.6 (96-UP) (OEM# 140-2770095, 52108325AA)"
68912B,PUMP MERCEDES 722.3
69383,"PISTON, SUBARU 4 SPEED R4AXEL, 1987-08 TRANSER CI RETAINER, OE#33283-AA010"
69575B,"FILTER 4EAT SUBARU Impreza,Legacy,Outback, Forester"
696546TWR,TYPHOON INTAKE MITSUBISHI LANCER EVO
69700J AFT,"*** USE 69700 *** BAND, RE/RL4R01A, R4A-EL: Reverse"
69710A,"FILTER RE4R01A,JR403E,R4AEL 87-ON (3/4"" PICKUP TUBE) (OEM# 31728-41X01, BV11-19815, 31728-41X03)"
69710B,FILTER RE4R01A 90-ON 4 CYL PICKUP TRUCK OEM#31725-48X00 4x2
69710P,"FILTER, RE0F06A  (CVT) NISSAN PRIMERA, 97-UP (OE# 31728-8E000)"
69803,F4AEL FWD & REV DRUM
69844,DRUM HIGH NISSAN RE4R04A ALTIMA
69954,SOLENOID KIT NISSAN RE4R01A 89-ON (OEM# 31940-41X13)
70011FM,"MCS TH350, TH400 PUMP VAMAC W/ROLLOVER LIP"
70013FM,MCS PUMP TH200/C/200-4R/TH700/4L60E 64-ON
70014FM,"MCS TH180/C, TH200-4R, TH250, TH350/C, TH700"
70020,"M/C SEAL A404, A413, A470, A604 78-ON AXLE SEAL - DIFFERE"
70020MP,"FRONT PUMP HOUSE REBUILT, CASTING ON BODY 24201073, UDES WEDGES STYLE SEAL , NO ISS SENSOR 4L65E LONG SHAFT 03-UP"
70022,"MCS TH440-T4, 4T60E 83-ON AXLE LEFT SIDE"
70023,M/C SEAL AXOD/AXODE/AX4S/AX4N 86-ON CONVERTER
70042,"M/C SEAL A30,A40,A340/E 68-ON EXT HSG(38X58X11)RUBBER CASED"
70046,"M/C SEAL HONDA, ACURA 74-ON CONVERTER 44X68X8 (COUNTER H"
70048,"M/C SEAL HONDA, ACURA 88-ON AXLE SHAFT (BELL HSG. SIDE)"
70049,"M/C SEAL HONDA 83-ON AXLE SHAFT CASE SIDE ACCORD, PRELUD"
70052,"M/C SEAL HONDA, ACURA 86-ON CONVERTER HOUSING"
70053,M/C SEAL HONDA 88-91 AXLE SHAFT (BELL HSG. SIDE) PRELUDE
70054,MCS  FRONT PUMP  4L80E 91-ON
70054FM,M/C SEAL CONVERTER 4L80E 91-ON
70059,"M/C SEAL HONDA 88-ON AXLE SHAFT (CASE SIDE) ACCORD, PREL"
70062,"M/C SEAL HONDA, ACURA 88-94 AXLE SHAFT CASE SIDE"
70064Z,GOVERNOR PER SPECS
70074,MCS RL/N3F01A 81-92 FRONT HSG COVER
70085KN,"INPUT DRUM, 05 UP 4L65E SHAFT HAS RELUCTOR.OEM DRUM"
70089,"M/C SEAL HONDA, ACURA 86-ON AXLE SHAFT (BELL HOUSING, CAS"
7009,GM SAGINAW PUMP KIT
70091,"M/C SEAL A130, A140, A241L/E, A243L, A247E, U240E, U341E 8"
70093,"M/C SEAL A130, A240 SERIES, U340E 83-ON AXLE (RIGHT)"
70108,"M/C SEAL AODE, 4R70W 93-ON EXT. HSG. W/SHORT BOOT, VITON"
70116,"MCS SEAL EXTENSION HSG. AT540,LCT 1000/2000 SERIES 70-ON (HEAVY DUTY, SEALED)"
70125,M/C SEAL ACURA 91-95 AXLE SHAFT (FRONT RIGHT)
70128,M/C SEAL ACURA 91-95 AXLE SHAFT (REAR LEFT)
70129,"M/C SEAL KM170 SERIES, A40 87-ON EXT. HSG. DODGE PICK-UP"
70132,"MCS, RIGHT AXLE, 4F20E, RL4F02A, RE4F02A/V, RE4F04A, JF010E 85-ON"
70143,"M/C SEAL 3N71B, 4N71B, A40D 74-83 EXT. HSG. MAZDA W/EXTER"
70146,"M/C SEAL HONDA 2, 3 SPEEDS 74-86 AXLE CASE SIDE ACCORD, P"
7015,GM TC PUMP KIT
70155,"MCS, MAZDA 4EAT-G, G4AEL/HL, F3A, FN4A-EL, FNR5 (81-ON) AXLE, BOTH SIDES (OEM# F004-27-238)"
70188,"M/C SEAL A540E, A541E 88-ON AXLE RIGHT FWD"
70189,"M/C SEAL A540E, A541E 88-ON AXLE SEAL - LEFT FWD"
70198,M/C SEAL A340 85-UP EXT. HSG. 40 X 58 X 11 TOYOTA
70199,"M/C SEAL A340, A341E, A350E, AW70, AW71, AW30-40LE 79-ON"
7021,GM SAGINAW PUMP KIT
70210,M/C SEAL RE/RL4F03A 91-ON LOCKING DIFFERENTIAL LEFT AXLE
70211,M/C SEAL RL/RE4F03A 91-ON L OCKING DIFFERENTIAL RIGHT AXLE
70212,"M/C SEAL TF-8, A500, A518, C-6E4OD EXT. W/BOOT"
70238N,METAL CLAD SEAL
70255CR,M/C SEAL 4T40E 95-ON AXLE W/O GREASE
7027,GM CB PUMP KIT
70271,M/C SEAL ZF4HP18 88-ON PINION SHAFT INLINE
70288,M/C SEAL U340E 00-ON AXLE LEFT
70309,"MCS FP C3, A4LD-E 4R44E 74-96"
70312,"M/C SEAL 4EAT TYPE F,G 87-ON CONVERTER HUB, VAMAC W/FLANGE"
70313,"M/C SEAL HONDA 2, 3 SPEEDS 74-86 AXLE BELL HSG. SIDE ACC"
70315,"MCS, HONDA 83-87 AXLE BELL HOUSING PRELUDE, CIVIC"
70316,"M/C SEAL MPZA, MP7A 95-ON BELLHOUSING SIDE"
70317,"M/C SEAL HONDA, ACURA RB 70089AXLE CASE SIDE"
70334,M/C SEAL W3A040 70-80 FRONTPUMP 6 CYL
70335,"M/C SEAL W4A040, W4A020, W5A030, W5A580 81-ON FRONT PUMP"
70341,METAL CLAD SEAL FP MAZDA FN4A-EL 4 SP
70351,MCS TOYOTA U140 Front (Pump) 1999-Up
70353,MCS AW60-40LE 95-98 AXLE
70362,M/C SEAL W4A020 84-ON FRONTPUMP
70367,M/C SEAL A440 85-93 OUTPUT SHAFT FRONT RETAINER
7037,GM PUMP KIT
70372,"** USE 70576 *** MCS, TOYOTA A440, A442 85-ON FRONT PUMP"
70376,M/C SEAL M4VA AXLE
70386,M/C SEAL AW55-50/51SN AXLE SHAFT BELL HSG SIDE OPEL 00-ON
70388,"M/C SEAL U150E, U150F AXLE DIFFERENTIAL SIDE 2002-ON"
70422,M/C SEAL EXT HSG 58X38X11 METAL CASED A340 00-ON VOLVO
7050,GM COMP GEAR KIT
7051,GM PITMAN SHAFT KIT
7054,GM ADJ PLUG KIT
7056,GM COMP GEAR KIT
7058,GM COMP GEAR KIT
7064,GM COMP GEAR KIT
7066,GM ADJ PLUG KIT
70754,"COMPLETE DRUM , GOOD USED, AG4, 095,01M 96 -UP"
70756,"PUMP COMPLETE 095, 096 WV  UNTIL 96"
7095,"GEAR SEAL KIT, GM ASTRO (VAN) 97-02, SUBURBAN WITH 5.7L (700 GEAR) 97-99, SUBURBAN WITH 6.5L (708 GEAR) 97-99,  S10 BLAZER 97-99,  WAGONEER 96-07, GRAND CHEROKEE 96-98,"
71222,"MCS, FRONT PUMP, FORD 4F27E, FN4A--EL, FS5A-EL (99-ON)"
71301,"PISTON, 4F27E"
71302,PISTON 4F27E FORWARD CLUTCH  MOLDED
71303,PISTON 4F27E FORWARD CLUTCH COVER MOLDED
71304,PISTON 4F27E DIRECT CLUTCH MOLDED
71306,PISTON 4F27E DIRECT CLUTCH  COVER MOLDED
71700D,"BAND CD4E (FORD & MAZDA) 42MM / 1.653"" WIDE 94-95"
71722,"FILTER 4F27E, FNR5,  FN4A-EL: DEEP PAN (IND: 71722) (OEM# 6E5Z-7B155-AFNC1-21-500A, FNC1-21-500)"
71756,OIL PUMP VW 087
71912B,G4AEL PUMP ASSY (ELECTRONIC; GEAR TYPE)
7215GS,"OVERHAUL KIT, TH350, IND#41202GS"
7215TGS,"OVERHAUL KIT, TH350, TEFLON IND#41202GST"
72500,CD4E PUMP
727-CR,TRANSMISSION CORE
72701,*** DISCONTINUED *** BAND GM 4T80E LOW/REVERSE 93-UP (OEM# 24216636)
727182A,CAM KIT
727215,"OUTPUT SUPPORT, 4 BOLT DESIGN"
72761BK,"FORWARD DRUM,2 RING"
72761CK,"FORWARD DRUM, 3 RING N L/U, 1.173 TF727"
72761FK,"FORWARD DRUM,COMPLETE,NON-L/U 3 RING"
73423,"CD4E SHELL, DIRECT W/HUB"
73575L,FILTER RE0F01A CVT NISSAN
73754A,CD4E FWD & DIRECT 3 PLATE
73822AA,"DRUM DIFFERENTIAL, CD4E"
73949A,SOLENOID PACK CD4E FORD 94-ON
73949C,"SOLENOID BLOCK CD4E, EPC,TCC,COAST,BOTH SHIFT, 5/3/99-UP (WHITE CONNECTOR) RETRO 1994,  TESTED 1 YEAR WARRANTY"
73957,NEUTRAL SAFETY SWITCH CD4E 94-ON AFT
74101,SMOD MERCEDES 722.1
74529C,STATOR SHAFT TUBE 4L60/ 4L60E -300MM CONVERTER) W/INPUT SPEED SENSOR HOLE (06-UP 4L70E)
74556,DRUM
74812,CONVERTER HUB 4EAT MAZDA
74912,F4AEL PUMP ASSY (THIS UNIT TAKES 6 PLUGS ON STATOR AND 4 HOLES ON BODY)
74912B,F4AEL PUMP ASSY (THIS UNIT TAKES 4 PLUGS ON STATOR AND 3 HOLES ON BODY)
74990,NEUTRAL SAFETY SWITCH MAZDA 4EAT-F
7516,R & P CHEVROLET CORSA KIT
7551,R & P GM COMP KIT
7563,"R&P SEAL KIT, AVEO 04-09"
7566,"R & P 07-11 CHEVY SILVERADO, TAHOE, AVALANCHE R & P KIT"
75700A,"BAND, TH125/C 79-ON INTERM"
757215,"SUPPORT, 4 BOLT"
75731,PLANET SET REV TH125
75740AC-GU,"VALVE BODY (GOOD USED) 095/096/097/098/01M FULLY TESTED,  SOLD AS IS NO WARRANTY"
75926A,"VANE, 700/4L60E"
76200A,"PUMP AODE, 4R70W 92-94"
76200K,"PUMP, FORD 4R75W"
76239F,SPRAG FORD 4R75W INTERMEDIATE 2000-UP
76305,"ST AOD STEEL,DIRECT"
76424,"FILTER AOD, FIOD 84-93 4WD W/LONG PICK-UP TUBE"
76501-MR,"PAN GASKET AODE, AODEW, 4R70E, 4R70W, 4R75E, 4R75W, 1992-07 TRUCKS (METAL/RUBBER), OE STYLE"
76520,"BAND, AOD/E,4R70W, 4R75W LOW/REVERSE (IND: 76520)"
76554CK-1-P,"DRUM, FORWARD, FORD AODE/4R70W/ 4R75W 3 LUB HOLES 2004-UP"
76832 UP,"PISTON  AODE/4R75W SERVO ASSEMBLY OVERDRIVE (2.70"" OD)"
76836A,"ACCUM PISTON 2-3 AODE, 4R70W, 4R75W/E 80-UP"
76877,REVERSE DRUM COMPLETE W/ one-way clutch assay
76877E,REVERSE DRUM 4R75W
76881B,DRUM DIRECT FORD 4R75W
76885-OF,"PISTON-AOD,FIOD (REVERSESERVO COVER) REFERENCE #33774"
D76925A,"SOLENOID, DUAL SHIFT 4R75W/E 2009-UP (IND: 76925A)"
76926A,"SOLENOID EPC (HARD WIRE, TAN/YELLOW CONNECTOR) 4R70W, 4R70E, 4R75W, 4R75E 2001-04 (BORG WARNER) #50106"
7700100010,NEUTRAL SWITCH SELECTOR OEM DPO/AL4
77028,METAL CLAD SEAL
77111,"ST 4L60E STEEL,REVERSE INPUT"
77244,PAPER GASKET
77575AB,*** USE 42710SL *** FILTER A4CF1/2
77710A,"FILTER TH700-R4, 4L60 82-93 W/GROMMET GM (OEM# 8667689, 8667293) REGULAR"
77710H,FILTER 4L60E 97-ON DEEP PAN W/ FIN (METAL/PLASTIC)
77710P,"FILTER 4L60E LT TRUCK (ALL PLASTIC) DEEP PAN 97-UP. (OEM# 24208576, 24208813)"
77716B,4L60E REV DRUM 93-UP RETRO 87
77733N,"DRUM W/ SHAFT 4L65E INPUT 27 SPLINES, WITH 15T RELUCTOR ON SHAFT 2005-UP"
77754AF,"VALVE BODY 4L60E 96-02 GOOD USED COMPLETE, CLEAN,  SOLD AS IS NO WARRANTY"
77762A-NAT,PISTON 4L60E OVERRUN INTERMEDIATE CLUTCH 94+ (OE#24205273)
77763A-NAT,"PISTON 4L60E 3rd,4TH (OE#24200290)"
77777L-K,"VALVE KIT,ACCUM""L"" TYPE"
77876C,"VALVE BODY PLATE, GM 4L60E ""PZ"" (OEM#24207492)"
77898E-K,"VALVE ASSY,REV BOOST O/S"
77914I,"PUMP GM 4L60, 4L65, 2005-UP PUMP GM 4L60, 4L65, 2005-UP WITH SPEED SENSOR"
77943,"SWITCH MANIFOLD PRESSURE GM 4L60E 93-UP (AFTERMARKET) (OEM# 24215111, 24219581)"
78227,O RING
78670,WASHER KIT A140
78756,DRUM DIRECT A140
78782,DRUM DIRECT A140
78831C,SOLENOID SET TOYOTA A540
79456,ST TR-60SN K1 CLUTH
79466,ST TR-60SN K2 CLUTCH
79868,"METAL CLAD SEAL, RIGHT SHAFT AW81-40LE *** WHEN OUT USE X184702"
80005A,*** USE 33316 *** BUSHING (33316)
80748,F3A SUN GEAR
80749A,SHELL F3A NEW 90-UP
81757,PUMP 4L30E
82584A,PLANETARIO
82710A,FILTER ZF4HP22/24 84-95 WITHOUT TUBE
8314A,"BAND, POWERGLIDE ALUMINUM"
52-9041,"SOLENOID ASSY NISSAN , RE4F04B 00-UP (5 SOLENOIDS) (OEM#  31940-85X01)"
83575F,FILTER ZF5HP18
83575M,FILTER FOR MASTER KIT K8300H
83575P,FILTER ZF4HP20
83714,PISTON RL3F01A NISSAN LOW/REV BRAKE DRUM 81-UP AFTERMARKET OEM # 31644-01X04
83754,"ZF4HP20 1995-99 MOLDED PISTON ""C"" CI"
83761,"ZF4HP20 1995-00 MOLDED PISTON ""D"" CI"
83826V,"MOLDED PISTON, C CLUTCH, ZF4HP16 (VITON RUBBER)"
84209,"BEARING, 4T60/E PUMP SHAFT, 66520"
84552GA,"DRUM, 2ND CLUTCH"
84700A,"*** USE 84700AH *** BAND, 4T40E, 4T45E, LOW/REVERSE, 4T60E, 4T65E FORWARD (REAR), 91-ON"
84724D-R,SPRAG 4T65E
84730R,REAR SPRAG 4T65E
84740GE-P,"VALVE BODY 4T65E, VOLVO ONLY"
84825,SOLENOID 4T60E 1-2 3-4 & TCC 91-UP
84860C,HUB & SHAFT 4T65E 97-UP
84912MA,PUMP GM 4T65E
84922,FILTER RE4R03A NISSAN
84928-NAT,4T65E  2ND PISTON
84972A,EXTERNAL WIRE HARNESS 4T60-E (FEMALE)  1994-UP
84995N,"BAND RE4R03A, JR403 NISSAN"
85710,"FILTER, ZF4HP14, ZF4HP18 (1988-UP) (OEM# 1036-226-013, 83504685)"
85710F,"FILTER, ZF5HP18 93-ON BMW M3, 530I, 320I (OEM# 24341-219-631, 24341-422-513, 1056-298-047, 0501-004-208)"
85916,"PUMP BODY W/ GEARS ZF5HP19FL/FLA AUDI, VW (14T INNER 94-ON)"
86422,FILTER ATX 81-ON FORD
86471,"PUMP SHAFT, 4T65E"
86575A,FILTER A650E TOYOTA/LEXUS 98-ON
86575B,FILTER A761E ( 6 SP ) 07-UP
97732H,"FILTER AB60E/F, A760 TOYOTA 07-UP W/1.00"" SUCTION TUBE (OEM# 35330-60060, 35330-34010)"
86756A,PUMP MERCEDES 4 BOLT 722.1
8684123,"V/V PLATE, 4L60E JW"
8684125,"V/V PLATE, 4L60E JY"
88055,METAL CLAD SEAL
8850B-NS,"MCS, 700R4/4L60 SEAL"
88710Q,*** USE 98710V *** FILTER HONDA CR-V 97-99 2 HOLES
88710R,"DO NOT REORDER, USE 98710W"
88711,"FILTER HONDA HX CVT ROUND TYPE 96-UP B36A, BT3A, B97A, B98A, BBSA, BDGA, BDHA, BDKA, BGRA, BJFA, BK3A, BK4A, BV1A, BVGA, BVLA, BWEA, BYFA, M4VA, M3WC, GTAA, JDJC, GPAA, MDKA, MDPA, MDRA, MHTA, MJBA, MJFA, MM2A, MURA, P34A, P35A, P36A, P79A, PGRA, PN3A, P36A, P79A, PGRA, PN3A, PN4A, PSFA, PVGA, PVLA, GYCA (OEM# 25450-P4V-003, 25450-P4V-013)"
88951,"SOLENOID SET AOYA, BOYA, MPOA, MPWA, MPXA PX4B, APX4"
89018365,GM SILVERADO ACTUATOR A/C
89700,"BAND, A130/140/A240: COAST BRAKE (2ND) (IND: 89700) (OEM# 35810-32020, 35810-32010)"
89700A,"BAND, MX17, A210: COAST BRAKE (2ND) - 1.18"" WIDE BAND (IND: 89700B) (OEM# 96054009)"
89710A,"FILTER, A240E/L, 241E, 243E, 244E 84-ON TOYOTA, GM MS7 (OEM# 35330-12011, 94844936, 35330-12010)"
89710R,FILTER TOYOTA A245E 02-UP (OEM# 35330-12040)
89710P,"FILTER, A4LB-1 TERIOS (IND: 89710P) RECTANGULAR HOLE (OEM# 35303-97501)"
89711,FILTER TOYOTA A541E 94-ON CAMRY (OEM# 35330-33010)
89712,"FILTER, U660E TOYOTA CAMRY 05-UP, AVALON 07-UP, PREVIA 07-UP (OEM# 35330-33050)"
89757A,A541E/ KIT SHIFT 1 & 2    2 SOLENOIDS 1 BRK 1994-UP
89918,"A540 PUMP ASSY (8 1/4"" PUMP BODY OUTER DIAMETER; .422 THICKNESS ON GEARS)"
89918X,"A540 PUMP ASSY (8 1/2"" PUMP BODY, OUTER DIAMETER; .422"" (10.7 MM) THICK GEARS)"
9001GS,"PAPER & RUBBER TH400, 3L80E 65-UP"
